Customer ID,Customer Name,Segment,source_filename,file_month
DP-13000,Darren Powers,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
PO-19195,Phillina Ober,Home Office,201901_Orders_2019_02_01_03_10_55.csv,201901
MB-18085,Mick Brown,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
ME-17320,Maria Etezadi,Home Office,201901_Orders_2019_02_01_03_10_55.csv,201901
JO-15145,Jack O'Briant,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
LS-17230,Lycoris Saunders,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
VS-21820,Vivek Sundaresam,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
MS-17830,Melanie Seite,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
AJ-10780,Anthony Jacobs,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
SV-20365,Seth Vernon,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
CS-12250,Chris Selesnick,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
BD-11605,Brian Dahlen,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
MM-17920,Michael Moore,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
ND-18370,Natalie DeCherney,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
BS-11590,Brendan Sweed,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
EH-13990,Erica Hackney,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
DL-13315,Delfina Latchford,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
DW-13195,David Wiener,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
TS-21340,Toby Swindell,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
XP-21865,Xylona Preis,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
MV-17485,Mark Van Huff,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
MM-18280,Muhammed MacIntyre,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
HL-15040,Hunter Lopez,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
TB-21400,Tom Boeckenhauer,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
SG-20605,Speros Goranitis,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
IM-15055,Ionia McGrath,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
SD-20485,Shirley Daniels,Home Office,201901_Orders_2019_02_01_03_10_55.csv,201901
CA-11965,Carol Adams,Corporate,201901_Orders_2019_02_01_03_10_55.csv,201901
EJ-13720,Ed Jacobs,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
JC-15340,Jasper Cacioppo,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
MV-18190,Mike Vittorini,Consumer,201901_Orders_2019_02_01_03_10_55.csv,201901
DP-13000,Darren Powers,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
PO-19195,Phillina Ober,Home Office,201901_Orders_2019_02_04_15_41_32.csv,201901
MB-18085,Mick Brown,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
ME-17320,Maria Etezadi,Home Office,201901_Orders_2019_02_04_15_41_32.csv,201901
JO-15145,Jack O'Briant,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
LS-17230,Lycoris Saunders,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
VS-21820,Vivek Sundaresam,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
MS-17830,Melanie Seite,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
AJ-10780,Anthony Jacobs,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
SV-20365,Seth Vernon,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
CS-12250,Chris Selesnick,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
BD-11605,Brian Dahlen,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
MM-17920,Michael Moore,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
ND-18370,Natalie DeCherney,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
BS-11590,Brendan Sweed,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
EH-13990,Erica Hackney,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
DL-13315,Delfina Latchford,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
DW-13195,David Wiener,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
TS-21340,Toby Swindell,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
XP-21865,Xylona Preis,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
MV-17485,Mark Van Huff,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
MM-18280,Muhammed MacIntyre,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
HL-15040,Hunter Lopez,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
TB-21400,Tom Boeckenhauer,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
SG-20605,Speros Goranitis,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
IM-15055,Ionia McGrath,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
SD-20485,Shirley Daniels,Home Office,201901_Orders_2019_02_04_15_41_32.csv,201901
CA-11965,Carol Adams,Corporate,201901_Orders_2019_02_04_15_41_32.csv,201901
EJ-13720,Ed Jacobs,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
JC-15340,Jasper Cacioppo,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
MV-18190,Mike Vittorini,Consumer,201901_Orders_2019_02_04_15_41_32.csv,201901
LC-17050,Liz Carlisle,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
BD-11500,Bradley Drucker,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
EB-13930,Eric Barreto,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
CD-12790,Cynthia Delaney,Home Office,201902_Orders_2019_03_04_02_26_31.csv,201902
TB-21400,Tom Boeckenhauer,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
DB-13270,Deborah Brumfield,Home Office,201902_Orders_2019_03_04_02_26_31.csv,201902
MH-17440,Mark Haberlin,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
ND-18460,Neil Ducich,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
DL-13315,Delfina Latchford,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
CK-12760,Cyma Kinney,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
CS-12250,Chris Selesnick,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
NM-18445,Nathan Mautz,Home Office,201902_Orders_2019_03_04_02_26_31.csv,201902
GA-14725,Guy Armstrong,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
NF-18385,Natalie Fritzler,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
SC-20095,Sanjit Chand,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
ML-17395,Marina Lichtenstein,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
ST-20530,Shui Tom,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
BF-11020,Barry Französisch,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
MN-17935,Michael Nguyen,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
AB-10015,Aaron Bergman,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
TB-21595,Troy Blackwell,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
LC-16930,Linda Cazamias,Corporate,201902_Orders_2019_03_04_02_26_31.csv,201902
SR-20740,Steven Roelle,Home Office,201902_Orders_2019_03_04_02_26_31.csv,201902
TM-21010,Tamara Manning,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
SA-20830,Sue Ann Reed,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
MG-17875,Michael Grace,Home Office,201902_Orders_2019_03_04_02_26_31.csv,201902
JH-15430,Jennifer Halladay,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
JS-16030,Joy Smith,Consumer,201902_Orders_2019_03_04_02_26_31.csv,201902
VF-21715,Vicky Freymann,Home Office,201903_Orders_2019_04_01_20_39_17.csv,201903
DB-13060,Dave Brooks,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
SC-20380,Shahid Collister,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
HR-14770,Hallie Redmond,Home Office,201903_Orders_2019_04_01_20_39_17.csv,201903
GW-14605,Giulietta Weimer,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
KN-16705,Kristina Nunn,Home Office,201903_Orders_2019_04_01_20_39_17.csv,201903
NH-18610,Nicole Hansen,Corporate,201903_Orders_2019_04_01_20_39_17.csv,201903
AJ-10945,Ashley Jarboe,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
JS-15595,Jill Stevenson,Corporate,201903_Orders_2019_04_01_20_39_17.csv,201903
SC-20020,Sam Craven,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
EJ-14155,Eva Jacobs,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
AP-10720,Anne Pryor,Home Office,201903_Orders_2019_04_01_20_39_17.csv,201903
SC-20095,Sanjit Chand,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
CL-12565,Clay Ludtke,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
AB-10150,Aimee Bixby,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
CM-12715,Craig Molinari,Corporate,201903_Orders_2019_04_01_20_39_17.csv,201903
AB-10015,Aaron Bergman,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
NP-18685,Nora Pelletier,Home Office,201903_Orders_2019_04_01_20_39_17.csv,201903
KT-16480,Kean Thornton,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
SW-20275,Scott Williamson,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
RB-19435,Richard Bierner,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
FM-14215,Filia McAdams,Corporate,201903_Orders_2019_04_01_20_39_17.csv,201903
CK-12205,Chloris Kastensmidt,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
KA-16525,Kelly Andreada,Consumer,201903_Orders_2019_04_01_20_39_17.csv,201903
CK-12325,Christine Kargatis,Home Office,201903_Orders_2019_04_01_20_39_17.csv,201903
